Company,ActiveBrand,Headquarters,Continent,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other ,Rank
Novartis,Y,Switzerland,Europe,121 597,1996,Vasant Narasimhan,NVS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,9,47 445.00,2019,https://www.novartis.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,46
Roche,Y,Switzerland,Europe,94 442,1896,Severin Schwan,ROG-CH,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,Y,n/a,9,63 435.70,2019,https://www.roche.com/,See Genentech,n/a,n/a,FactSet,https://www.nytimes.com/2009/03/13/business/worldbusiness/13drugs.html,36
UBS,Y,Switzerland,Europe,61 253,1998,Sergio Ermotti,UBS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,8,28 889.00,2019,https://www.ubs.com/us/en.html,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,90
Schindler,Y,Switzerland,Europe,60 000,1874,Thomas Oetterli,SCHP-CH,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Construction,n/a,n/a,9,11 632.20,2019,https://www.schindler.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,178
Ferguson (formerly Wolseley),Y,Switzerland,Europe,33 511,1887,Kevin Murphy,FERG-GB,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Maintenance Services,n/a,n/a,8,27 393.60,2019,http://www.fergusonplc.com/en/index.html,See Ferguson Enterprises,n/a,n/a,FactSet,n/a,97
Sulzer,Y,Switzerland,Europe,15 500,1834,George Poux-Guillaume,SUN-CH,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Maintenance Services,n/a,n/a,11,3 848.00,2019,https://www.sulzer.com/en,See JWC Environmental,n/a,n/a,FactSet,https://www.jwce.com/blog/2018/01/11/sulzer-completes-acquisition-jwc-environmental/,307
Rieter,Y,Switzerland,Europe,5 246,1795,Norbert Klapper,RIEN-CH,Tier 1b - Publicly Traded - Other,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,6,784.40,2019,http://www.rieter.com/,TDCJ Spending,n/a,n/a,FactSet,n/a,515
Deloitte Global,Y,United Kingdom,Europe,312 000,1845,Punit Renjen,n/a,Tier 3 - Large Privately-Owned  requires outside financing,Operations & Management,Procurement  Contracting  & Other Admin Services,Y,n/a,n/a ,46 200.00,2019,https://www2.deloitte.com/us/en.html,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,48
Ernst & Young,Y,United Kingdom,Europe,284 018,1989,n/a,n/a,Tier 3 - Large Privately-Owned  requires outside financing,Operations & Management,Procurement  Contracting  & Other Admin Services,Y,n/a,n/a ,36 400.00,2019,https://www.ey.com/en_gl,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,69
WATES Construction,Y,United Kingdom,Europe,1 855,1986,n/a,n/a,Tier 3 - Large Privately-Owned  requires outside financing,Construction & Maintenance,Construction,n/a,n/a,n/a ,1 027.90,2014,https://www.wates.co.uk/,http://ajaproductserviceresource.com/,n/a,n/a,PrivCo (www.privco.com),n/a,473
