Company,ActiveBrand,Headquarters,Continent,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other,Rank
Indev,Y,PA,NorthAmerica,150,2013,n/a,n/a,Tier4-SmallPrivately-Owned,Data&InformationSystems,IT&CommuncationsInfrastructure&Service,Y,n/a,n/a,11.30,2018,http://www.indev.com/,n/a,Sludge-ICEContract(https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo(www.privco.com),n/a,1411
InnovativeFoodserviceGroup(FormerlyBeltramFoodServiceGroup),Y,FL,NorthAmerica,150,1973,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,n/a,101.10,2018,https://www.innovativefoodservicegroup.com,http://www.dc.state.fl.us/business/contracts/,n/a,n/a,PrivCo(www.privco.com),n/a,847
InnovativeManagementConcepts,Y,VA,NorthAmerica,150,1989,n/a,n/a,Tier4-SmallPrivately-Owned,Data&InformationSystems,IT&CommuncationsInfrastructure&Service,n/a,n/a,n/a,25.00,2018,http://www.imcva.com/,http://www.ijis.org/?page=Member_List,n/a,n/a,PrivCo(www.privco.com),n/a,1221
JusticeAVSolutions,Y,KY,NorthAmerica,150,1981,n/a,n/a,Tier4-SmallPrivately-Owned,Data&InformationSystems,IT&CommuncationsInfrastructure&Service,n/a,n/a,n/a,23.00,2018,http://javs.com/,Seewebsite,n/a,n/a,PrivCo(www.privco.com),n/a,1242
Mark'sPlumbingParts,Y,TX,NorthAmerica,150,n/a,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,n/a,74.00,2018,http://www.markspp.com/,http://correctionsmarketplace.com/,n/a,n/a,PrivCo(www.privco.com),n/a,915
Onix,Y,OH,NorthAmerica,150,1992,n/a,n/a,Tier4-SmallPrivately-Owned,Data&InformationSystems,IT&CommuncationsInfrastructure&Service,n/a,n/a,n/a,15.50,2018,https://www.onixnet.com/,https://www.onixnet.com/industries/us-state-and-local-government/public-sector-it,n/a,n/a,PrivCo(www.privco.com),https://www.najis.org/sponsors,1349
ProPacificFresh,Y,CA,NorthAmerica,150,n/a,n/a,n/a,Tier4-SmallPrivately-Owned,Food&Commissary,PrisonFood,n/a,n/a,n/a,45.00,2018,https://ppf-foods.com/,CaliforniaSpendingData-2018,n/a,n/a,PrivCo(www.privco.com),n/a,1049
SimarenCorp(dbaWisdomProtectiveServices),Y,NY,NorthAmerica,150,n/a,n/a,n/a,Tier4-SmallPrivately-Owned,Personnel,ThirdPartyStaffing,n/a,n/a,n/a,10.30,2018,http://wisdomprotective.com/,NYSDOCCSSpending,n/a,n/a,PrivCo(www.privco.com),n/a,1427
SimpleGreen(dbaSunshineMakers),Y,CA,NorthAmerica,150,1975,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,n/a,95.00,2018,https://simplegreen.com/industrial/,https://aja.multiview.com/,n/a,n/a,PrivCo(www.privco.com),n/a,865
TurnKeyCorrections,Y,WI,NorthAmerica,150,1998,n/a,n/a,Tier4-SmallPrivately-Owned,Telecom,PrisonCommunications,n/a,n/a,n/a,36.00,2018,http://www.turnkeycorrections.com/,Seewebsite,n/a,n/a,PrivCo(www.privco.com),n/a,1114
UnitedDairy,Y,OH,NorthAmerica,150,1954,n/a,n/a,Tier4-SmallPrivately-Owned,Food&Commissary,PrisonFood,n/a,n/a,n/a,177.00,2018,http://www.uniteddairy.com/,OHDRCSpending,n/a,n/a,PrivCo(www.privco.com),n/a,745
AhuraScientific,Y,MA,NorthAmerica,148,2002,n/a,TMO,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Equipment,SecurityTechnology,Y,n/a,9,45.00,2009,https://www.thermofisher.com/us/en/home/industrial/spectroscopy-elemental-isotope-analysis/portable-analysis-material-id.html,n/a,GovSpend,n/a,PrivCo(www.privco.com),https://ir.thermofisher.com/investors/news-and-events/news-releases/news-release-details/2010/Thermo-Fisher-Scientific-Signs-Agreement-to-Acquire-Leading-Innovator-in-Handheld-Spectrometers-Ahura-Scientific/default.aspx,1047
Gordian,Y,SC,NorthAmerica,145,1990,n/a,FTV,Tier1b-PubliclyTraded-Other,Data&InformationSystems,IT&CommuncationsInfrastructure&Service,Y,n/a,9,38.00,2015,https://www.gordian.com/,n/a,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,PrivCo(www.privco.com),https://investors.fortive.com/press-release/acquisitions-divestitures/fortive-acquire-gordian-approximately-775-million-cash,1098
